"lang"
{
"Language"	"russian"
		"DOTA_Tooltip_ability_ability_thief_4_bonus_attack_speed"		"БОНУС СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_modifier_ability_thief_4_stacks"		"Concentrate"
		"DOTA_Tooltip_modifier_ability_thief_4_stacks_Description"					"Готовится к повышенной концентрации !"
		"DOTA_Tooltip_modifier_ability_thief_4_buff"		"Concentrate buff"
		"DOTA_Tooltip_modifier_ability_thief_4_buff_Description"					"Получает дополнительную скорость атаки !"

 		"DOTA_Tooltip_ability_darksoul_desolate"							"Desolate"
		"DOTA_Tooltip_ability_darksoul_desolate_Description"				"Каждая атака тёмной души наносит больший урон!"
		"DOTA_Tooltip_ability_darksoul_desolate_stack_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_darksoul_desolate_stack_damage"				"УРОН ЗА СТАК:"
 		"DOTA_Tooltip_modifier_darksoul_desolate_debuff"							"Desolate"
		"DOTA_Tooltip_modifier_darksoul_desolate_debuff_Description"				"Удары становятся больнее ..."

		"DOTA_Tooltip_ability_venom_dragon_poison_attack"										"Poison Attack"
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_Description"							"Добавляет к обычной атаке героя яд, уменьшающий скорость передвижения и сопротивление магии, а также наносящий периодический урон. Эффект яда складывается до %max_stacks% раз."
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_Lore"									"Врождённое ядовитое дыхание низших драконов быстро высасывает жизненные силы жертвы."
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_duration"								"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_damage"								"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_movement_speed"					"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_magic_resistance"					"%СОПРОТИВЛЕНИЕ МАГИИ:"
		"DOTA_Tooltip_ability_venom_dragon_poison_attack_max_stacks"					"МАКСИМУМ ЭФФЕКТОВ:"

		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin"										"Corrosive Skin"
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_Description"							"Если враг на расстоянии до %max_range_tooltip% нанесёт герою урон, то отравится заразным ядом, который наносит урон и замедляет атаки. Также способность увеличивает сопротивление магическому урону."
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_Lore"								"Ржавеющие прямо в руках щиты и мечи — обычное дело для тех, кто посмеет напасть на низшего дракона."
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_Note0"								"Перемножается с другими источниками сопротивления магическому урону."
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_duration"							"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_damage"								"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_bonus_attack_speed"					"ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_bonus_magic_resistance"				"%СОПРОТИВЛЕНИЕ МАГИИ:"
		"DOTA_Tooltip_ability_venom_dragon_corrosive_skin_max_range_tooltip"				"МАКС. ДАЛЬНОСТЬ ДЕЙСТВИЯ:"

 		"DOTA_Tooltip_ability_greevil_building_destruction"							"Уничтожить здание"
		"DOTA_Tooltip_ability_greevil_building_destruction_Description"				"Уничтожает данное здание"

 		"DOTA_Tooltip_ability_creature_chaos_attack"							"Chaos attack"
		"DOTA_Tooltip_ability_creature_chaos_attack_Description"				"Каждая атака создаёт взрыв !"
		"DOTA_Tooltip_ability_creature_chaos_attack_damage"				"УРОН:"
		"DOTA_Tooltip_ability_creature_chaos_attack_radius"				"РАДИУС:"

 		"DOTA_Tooltip_ability_boss_chaos_attack"							"Chaos attack"
		"DOTA_Tooltip_ability_boss_chaos_attack_Description"				"Каждая атака создаёт взрыв !"
		"DOTA_Tooltip_ability_boss_chaos_attack_damage"				"УРОН:"
		"DOTA_Tooltip_ability_boss_chaos_attack_radius"				"РАДИУС:"

		"DOTA_Tooltip_ability_quest_banana"							"Banana quest"
		"DOTA_Tooltip_ability_quest_banana_Description"				"У меня закончились <font color='#ff9966'><em> бананы </em> </font>,не мог бы ты достать для меня немного ?"
		"DOTA_Tooltip_ability_quest_banana_value_required"			"НЕОБХОДИМОЕ КОЛИЧЕСТВО:"
		"DOTA_Tooltip_ability_quest_banana_reward_exp"				"НАГРАДА ОПЫТА:"
		"DOTA_Tooltip_ability_quest_banana_reward_gold"				"НАГРАДА ЗОЛОТА:"

		"DOTA_Tooltip_ability_quest_fish"							"Fish quest"
		"DOTA_Tooltip_ability_quest_fish_Description"				"У меня закончилась <font color='#ff9966'><em> рыба </em> </font>,не мог бы ты достать для меня немного ?"
		"DOTA_Tooltip_ability_quest_fish_value_required"			"НЕОБХОДИМОЕ КОЛИЧЕСТВО:"
		"DOTA_Tooltip_ability_quest_fish_reward_exp"				"НАГРАДА ОПЫТА:"
		"DOTA_Tooltip_ability_quest_fish_reward_gold"				"НАГРАДА ЗОЛОТА:"

		"DOTA_Tooltip_ability_quest_meat"							"Meat quest"
		"DOTA_Tooltip_ability_quest_meat_Description"				"У меня закончилось <font color='#ff9966'><em> мясо </em> </font>,не мог бы ты достать для меня немного ?"
		"DOTA_Tooltip_ability_quest_meat_value_required"			"НЕОБХОДИМОЕ КОЛИЧЕСТВО:"
		"DOTA_Tooltip_ability_quest_meat_reward_exp"				"НАГРАДА ОПЫТА:"
		"DOTA_Tooltip_ability_quest_meat_reward_gold"				"НАГРАДА ЗОЛОТА:"

		"DOTA_Tooltip_ability_quest_soup"							"Soup quest"
		"DOTA_Tooltip_ability_quest_soup_Description"				"У меня закончился <font color='#ff9966'><em> элексир жизни </em> </font>,не мог бы ты достать для меня немного ?"
		"DOTA_Tooltip_ability_quest_soup_value_required"			"НЕОБХОДИМОЕ КОЛИЧЕСТВО:"
		"DOTA_Tooltip_ability_quest_soup_reward_exp"				"НАГРАДА ОПЫТА:"
		"DOTA_Tooltip_ability_quest_soup_reward_gold"				"НАГРАДА ЗОЛОТА:"

		"DOTA_Tooltip_ability_acult_ghost"							"Last will"
		"DOTA_Tooltip_ability_acult_ghost_Description"				"Последнее желание чернокнижника было провести обряд, который он так и не смог ... <br> Нужно было отдать самое ценное, что есть у него..."

 		"DOTA_Tooltip_ability_frozen_throne_passive"							"Frozen monument"
		"DOTA_Tooltip_ability_frozen_throne_passive_Description"				"Ледяная защита уничтожит любого, кто подойдет близко !"
		"DOTA_Tooltip_ability_frozen_throne_passive_trigger_radius"				"ДАЛЬНОСТЬ СРАБАТЫВАНИЯ:"
		"DOTA_Tooltip_ability_frozen_throne_passive_trigger_interval"			"ЗАДЕРЖКА СРАБАТЫВАНИЯ:"
		"DOTA_Tooltip_ability_frozen_throne_passive_aoe_damage"					"УРОН ПО ОБЛАСТИ:"

 		"DOTA_Tooltip_ability_plague_wagon_passive"							"Plague"
		"DOTA_Tooltip_ability_plague_wagon_passive_Description"				"Чума разъедает плоть своих врагов !"
		"DOTA_Tooltip_ability_plague_wagon_passive_radius"					"РАДИУС:"
		"DOTA_Tooltip_ability_plague_wagon_passive_dmg_per_sec"				"УРОН В СЕКУНДУ:"

 		"DOTA_Tooltip_ability_plague_wagon_fleshgolem"						"Fleshgolem"
		"DOTA_Tooltip_ability_plague_wagon_fleshgolem_Description"			"Создаёт ужасного голема из плоти своих врагов!"
		"DOTA_Tooltip_ability_plague_wagon_fleshgolem_duration"				"ДЛИТЕЛЬНОСТЬ:"

 		"DOTA_Tooltip_ability_plague_wagon_speed"							"Despair movement"
		"DOTA_Tooltip_ability_plague_wagon_speed_Description"				"Повозка движется к своей цели несмотря ни на что !"
		"DOTA_Tooltip_ability_plague_wagon_speed_interval"					"ИНТЕРВАЛ:"
		"DOTA_Tooltip_ability_plague_wagon_speed_ms_grow"					"%УВЕЛИЧЕНИЕ СКОРОСТИ:"
		"DOTA_Tooltip_ability_plague_wagon_speed_prepare_time"				"ВРЕМЯ ПОДГОТОВКИ:"
		"DOTA_Tooltip_ability_plague_wagon_speed_nitro_speed"				"%СУПЕР СКОРОСТЬ:"

 		"DOTA_Tooltip_ability_fleshgolem_attack"							"Fleshgolem attack"
		"DOTA_Tooltip_ability_fleshgolem_attack_Description"				"Атаки отталкивают врагов !"
		"DOTA_Tooltip_ability_fleshgolem_attack_knockback_radius"			"РАДИУС ОТТАЛКИВАНИЯ:"
		"DOTA_Tooltip_ability_fleshgolem_attack_knockback_duration"			"ДЛИТЕЛЬНОСТЬ ОТТАЛКИВАНИЯ:"

		"DOTA_Tooltip_ability_penguin_sledding_ride"							"Penguin sledding ride"
		"DOTA_Tooltip_ability_penguin_sledding_ride_Description"				"Может немного покатаемся на пингвинах))?"
		"DOTA_Tooltip_ability_penguin_sledding_ride_max_sled_speed"				"МАКСИМАЛЬНАЯ СКОРОСТЬ:"

		"DOTA_Tooltip_ability_tidehunter_mega_punch"				"Chaos Strike"
		"DOTA_Tooltip_ability_tidehunter_mega_punch_Description"	"Герой наносит критический удар случайной силы и восстанавливает себе здоровье на %lifesteal%%% от нанесённого урона."
		"DOTA_Tooltip_ability_tidehunter_mega_punch_Lore"			"Неудержимая мощь всадника сокрушает даже самые толстые доспехи тех, кто осмелился выступить против него."
		"DOTA_Tooltip_ability_tidehunter_mega_punch_crit_chance"	"%ШАНС КРИТИЧЕСКОЙ АТАКИ:"
		"DOTA_Tooltip_ability_tidehunter_mega_punch_crit_damage"	"%КРИТИЧЕСКИЙ УРОН:"
		"DOTA_Tooltip_ability_tidehunter_mega_punch_lifesteal"	"%CRITICAL LIFESTEAL:"

		"DOTA_Tooltip_ability_tidehunter_tidebringer"										"Tidebringer"
		"DOTA_Tooltip_ability_tidehunter_tidebringer_Description"							"Своим легендарным мечом охотник бьёт врагов в большой площади перед собой, нанося увеличенный урон."
		"DOTA_Tooltip_ability_tidehunter_tidebringer_Lore"									"A lost Claddish soul inhabits Kunkka's trusty Tidebringer, empowering it to destroy demons of the Cataract."
		"DOTA_Tooltip_ability_tidehunter_tidebringer_Note0"									"Cleave damage goes through spell immunity."
		"DOTA_Tooltip_ability_tidehunter_tidebringer_damage_bonus"							"DAMAGE BONUS:"
		"DOTA_Tooltip_ability_tidehunter_tidebringer_cleave_damage"							"%CLEAVE DAMAGE:"
		"DOTA_Tooltip_ability_tidehunter_tidebringer_cleave_distance"						"CLEAVE RANGE:"

		"DOTA_Tooltip_ability_damage_test"							"Фильтр урона"
		"DOTA_Tooltip_ability_damage_test_Description"				"Показывает количество нанесенного урона (количество здоровья) !"
		"DOTA_Tooltip_ability_damage_test_duration"					"Длительность накопления :"
		"DOTA_Tooltip_modifier_damage_test_filter"					"Фильтр урона"
		"DOTA_Tooltip_modifier_damage_test_filter_Description"		"Фильтр урона активен !"
 	
 		"DOTA_Tooltip_ability_zombie_lord_zombie_spawn"					"Zombie-zombie"
		"DOTA_Tooltip_ability_zombie_lord_zombie_spawn_Description"		"Около врагов появляются зомби !"
		"DOTA_Tooltip_ability_zombie_lord_zombie_spawn_aura"			"РАДИУС :"
		"DOTA_Tooltip_ability_zombie_lord_zombie_spawn_interval"		"ИНТЕРВАЛ ПОЯВЛЕНИЯ ЗОМБИ:"
	
 		"DOTA_Tooltip_ability_zombie_lord_decay"					"Decay"
		"DOTA_Tooltip_ability_zombie_lord_decay_Description"		"Крадет силу вражеских героев увеличивая собственное здоровье и атаку !"
		"DOTA_Tooltip_ability_zombie_lord_decay_damage"				"УРОН:"
		"DOTA_Tooltip_ability_zombie_lord_decay_radius"				"РАДИУС:"
		"DOTA_Tooltip_ability_zombie_lord_decay_str_steal"			"КРАЖА СИЛЫ:"
		"DOTA_Tooltip_ability_zombie_lord_decay_hp_scale"			"%УВЕЛИЧЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_zombie_lord_decay_dmg_scale"			"%УВЕЛИЧЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_zombie_lord_decay_buff_duration"		"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_zombie_lord_decay_debuff_counter"					"Decay debuff"
		"DOTA_Tooltip_modifier_zombie_lord_decay_debuff_counter_Description"		"Сила героя снижена!"
		"DOTA_Tooltip_modifier_zombie_lord_decay_buff_counter"					"Decay buff"
		"DOTA_Tooltip_modifier_zombie_lord_decay_buff_counter_Description"		"Увеличено здоровье и урон !"
 
		"DOTA_Tooltip_ability_zombie_aura"					"Zombie aura"
		"DOTA_Tooltip_ability_zombie_aura_Description"		"Каждый юнит после смерти превращается в зомби !"
		"DOTA_Tooltip_ability_zombie_aura_aura_radius"			"РАДИУС:"
		"DOTA_Tooltip_modifier_zombie_aura_debuff"			"Zombie aura"
		"DOTA_Tooltip_modifier_zombie_aura_debuff"			"Убей меня Билли !"
 
 		"DOTA_Tooltip_ability_boss_zombie_attack"					"Disease attack"
		"DOTA_Tooltip_ability_boss_zombie_attack_Description"		"Каждая атака наносит урон от недостающего здоровья цели!"
		"DOTA_Tooltip_ability_boss_zombie_attack_dmg_pct"			"%УРОН ОТ НЕДОСТАЮЩЕГО ЗДОРОВЬЯ:"
 
		"DOTA_Tooltip_ability_creature_zombie_attack"					"Disease attack"
		"DOTA_Tooltip_ability_creature_zombie_attack_Description"		"Каждая атака наносит урон от недостающего здоровья цели!"
		"DOTA_Tooltip_ability_creature_zombie_attack_dmg_pct"			"%УРОН ОТ НЕДОСТАЮЩЕГО ЗДОРОВЬЯ:"

		"DOTA_Tooltip_ability_zombie_lord_fleshgolem"						"Flesh golem"
		"DOTA_Tooltip_ability_zombie_lord_fleshgolem_Description"			"Превращается в могущественного монстра, форма дарует ауру порчи !"
		"DOTA_Tooltip_ability_zombie_lord_fleshgolem_aura_radius"			"РАДИУС АУРЫ:"
		"DOTA_Tooltip_ability_zombie_lord_fleshgolem_dmg_pct"				"%УРОН ОТ ТЕКУЩЕГО ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_zombie_lord_fleshgolem_health_required_pct"	"%ЗДОРОВЬЯ ДЛЯ СРАБАТЫВАНИЯ:"

        "DOTA_Tooltip_modifier_turbomode_bonus"                   "Turbomode buff"
        "DOTA_Tooltip_modifier_turbomode_bonus_Description"       "Вы получаете на 100%%% больше золота и опыта"
  
		"DOTA_Tooltip_ability_hesperid_living_armor"	"Living Armor"
		"DOTA_Tooltip_ability_hesperid_living_armor_Description"	"Накладывает на выбранного героя или сооружение защитный покров, увеличивая его регенерацию здоровья. Покров блокирует часть любого получаемого урона. Эффект спадает, если получить урон несколько раз."
		"DOTA_Tooltip_ability_hesperid_living_armor_damage_count"	"ВЫДЕРЖИВАЕТ АТАК:"
		"DOTA_Tooltip_ability_hesperid_living_armor_health_regen"	"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_hesperid_living_armor_damage_block"	"БЛОКИРУЕМЫЙ УРОН:"
		"DOTA_Tooltip_ability_hesperid_living_armor_duration"	"ДЛИТЕЛЬНОСТЬ:"


		"DOTA_Tooltip_ability_hardskin1"	"Hard skin"
		"DOTA_Tooltip_ability_hardskin1_Description"	"Утолщает шкуру героя, блокируя часть физического урона. Когда полученный урон достигает определенного предела, способность сбрасывает все отрицательные эффекты.\n\nЭффект не сочетается с другими предметами, блокирующими физический урон.\n\nТИП РАЗВЕИВАНИЯ: Сильное"
		"DOTA_Tooltip_ability_hardskin1_damage_reduction"	"БЛОК УРОНА:"
		"DOTA_Tooltip_ability_hardskin1_damage_cleanse"	"ГРАНИЦА УРОНА:"
		"DOTA_Tooltip_ability_hardskin1_damage_reset_interval"	"ВРЕМЯ СБРОСА ПОКРЫТИЯ:"
		"DOTA_Tooltip_ability_hardskin1_Note0"	"При подсчете полученного урона считается только тот, который был нанесен игроками."
		"DOTA_Tooltip_ability_hardskin1_Note1"	"Счетчик урона обнулится, если вражеские герои не будут наносить вам урон в течение 6 секунд."
		"DOTA_Tooltip_ability_hardskin1_Note2"	"Снимает большинство эффектов, не снимаемых очищающими способностями."

		"DOTA_Tooltip_ability_hardskin2"	"Hard skin"
		"DOTA_Tooltip_ability_hardskin2_Description"	"Утолщает шкуру героя, блокируя часть физического урона. Когда полученный урон достигает определенного предела, способность сбрасывает все отрицательные эффекты.\n\nЭффект не сочетается с другими предметами, блокирующими физический урон.\n\nТИП РАЗВЕИВАНИЯ: Сильное"
		"DOTA_Tooltip_ability_hardskin2_damage_reduction"	"БЛОК УРОНА:"
		"DOTA_Tooltip_ability_hardskin2_damage_cleanse"	"ГРАНИЦА УРОНА:"
		"DOTA_Tooltip_ability_hardskin2_damage_reset_interval"	"ВРЕМЯ СБРОСА ПОКРЫТИЯ:"
		"DOTA_Tooltip_ability_hardskin2_Note0"	"При подсчете полученного урона считается только тот, который был нанесен игроками."
		"DOTA_Tooltip_ability_hardskin2_Note1"	"Счетчик урона обнулится, если вражеские герои не будут наносить вам урон в течение 6 секунд."
		"DOTA_Tooltip_ability_hardskin2_Note2"	"Снимает большинство эффектов, не снимаемых очищающими способностями."

		"DOTA_Tooltip_ability_hardskin3"	"Hard skin"
		"DOTA_Tooltip_ability_hardskin3_Description"	"Утолщает шкуру героя, блокируя часть физического урона. Когда полученный урон достигает определенного предела, способность сбрасывает все отрицательные эффекты.\n\nЭффект не сочетается с другими предметами, блокирующими физический урон.\n\nТИП РАЗВЕИВАНИЯ: Сильное"
		"DOTA_Tooltip_ability_hardskin3_damage_reduction"	"БЛОК УРОНА:"
		"DOTA_Tooltip_ability_hardskin3_damage_cleanse"	"ГРАНИЦА УРОНА:"
		"DOTA_Tooltip_ability_hardskin3_damage_reset_interval"	"ВРЕМЯ СБРОСА ПОКРЫТИЯ:"
		"DOTA_Tooltip_ability_hardskin3_Note0"	"При подсчете полученного урона считается только тот, который был нанесен игроками."
		"DOTA_Tooltip_ability_hardskin3_Note1"	"Счетчик урона обнулится, если вражеские герои не будут наносить вам урон в течение 6 секунд."
		"DOTA_Tooltip_ability_hardskin3_Note2"	"Снимает большинство эффектов, не снимаемых очищающими способностями."

		"DOTA_Tooltip_ability_creature_aura_health_regen"	"Аура регенерации"
		"DOTA_Tooltip_ability_creature_aura_health_regen_Description"	"Аура регенерации увеличивает восстановление всех окружающих союзников."
		"DOTA_Tooltip_ability_creature_aura_health_regen_health_radius"	"РАДИУС АУРЫ:"
		"DOTA_Tooltip_ability_creature_aura_health_regen_health_regen_amount"	"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_creature_aura_health_regen_health_regen_percent"	"% ОТ МАКСИМАЛЬНОГО ЗДОРОВЬЯ:"

		"DOTA_Tooltip_ability_fountain_aura"	"Восстановление"
		"DOTA_Tooltip_ability_fountain_aura_Description"	"Аура регенерации увеличивает восстановление  здоровья и маны всех окружающих союзников."
		"DOTA_Tooltip_ability_fountain_aura_hp_reg"	"ВОССТАНОВЛЕНИЕ МАНЫ %:"
		"DOTA_Tooltip_ability_fountain_aura_mp_reg"	"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ %:"
		"DOTA_Tooltip_modifier_fountain_regen"	"Восстановление"
		"DOTA_Tooltip_modifier_fountain_regen_Description"	"Аура регенерации "

		"DOTA_Tooltip_ability_berserk_touch"	"Fury Swipes"
		"DOTA_Tooltip_ability_berserk_touch_Description"	"Медвежьи когти с каждой атакой все глубже впиваются в плоть врага, нанося увеличенный урон с каждой последующей атакой. Дополнительный урон будет потерян, если цель не будет атакована в течение 10 секунд."
		"DOTA_Tooltip_ability_berserk_touch_damage_per_stack"	"УРОНА ЗА АТАКУ:"
		"DOTA_Tooltip_modifier_berserk_touch_damage_increase"	"Fury Swipes"
		"DOTA_Tooltip_modifier_berserk_touch_damage_increase_Description"	"Атаки Ursa будут наносить дополнительный урон в размере %dMODIFIER_PROPERTY_TOOLTIP%"

		"DOTA_Tooltip_ability_feast"	"Feast"
		"DOTA_Tooltip_ability_feast_Description"	"Каждая атака лечит вас на долю от МАКСИМАЛЬНОГО здоровья противника и наносит равноценное количество урона."
		"DOTA_Tooltip_ability_feast_hp_leech_percent"	"%ВАМПИРИЗМ:"
		"DOTA_Tooltip_ability_feast_Note0"	"Не действует на Рошана."
		"DOTA_Tooltip_ability_feast_Note1"	"Действует на врагов, невосприимчивых к заклинаниям."
		"DOTA_Tooltip_ability_feast_Note2"	"Количество восстановленного здоровья не зависит от нанесенного урона."
		"DOTA_Tooltip_ability_feast_Note3"	"Складывается с другими источниками вампиризма."

		"DOTA_Tooltip_ability_frostmourne"					"Curse of Avernus"
		"DOTA_Tooltip_ability_frostmourne_Description"		"Атаки героя накладывают на жертву замораживающее проклятье. У всех, кто ее атакует, на некоторое время повышается скорость атаки и передвижения."
		"DOTA_Tooltip_ability_frostmourne_Lore"				"Проклятье, что замедлит врага и поторопит союзника."
		"DOTA_Tooltip_ability_frostmourne_debuff_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_frostmourne_buff_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
		"DOTA_Tooltip_ability_frostmourne_slow_pct"			"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_frostmourne_attack_speed"		"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_frostmourne_move_speed_pct"	"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"

		"DOTA_Tooltip_ability_creep_disease_cloud"					"Disease cloud"
		"DOTA_Tooltip_ability_creep_disease_cloud_Description"		"Плоть мясника разлагается , существа учуювшуе запах начинают задыхаться."
		"DOTA_Tooltip_ability_creep_disease_cloud_radius"					"РАДИУС :"
		"DOTA_Tooltip_ability_creep_disease_cloud_dmg"						"УРОН :"
		"DOTA_Tooltip_ability_creep_disease_cloud_duration"					"ДЛИТЕЛЬНОСТЬ :"
		"DOTA_Tooltip_modifier_creep_disease_cloud"					"Disease cloud"
		"DOTA_Tooltip_modifier_creep_disease_cloud_Description"		"Вы очумели !"

		"DOTA_Tooltip_ability_fervor"	"Fervor"
		"DOTA_Tooltip_ability_fervor_Description"	"Каждый последующий удар по одной и той же цели увеличивает скорость атаки тролля. Если тролль сменит цель, бонус обнулится."
		"DOTA_Tooltip_ability_fervor_Lore"	"Если не удалось в первый раз — бей, бей еще."
		"DOTA_Tooltip_ability_fervor_max_stacks"	"МАКС. КОЛ-ВО:"
		"DOTA_Tooltip_ability_fervor_attack_speed"	"СКОРОСТИ АТАКИ ЗА УДАР:"

		"DOTA_Tooltip_ability_crit_aura"	"Critical Strike Aura"
		"DOTA_Tooltip_ability_crit_aura_Description"	"Каждая атака имеет шанс нанести кретинский удар !"
		"DOTA_Tooltip_ability_crit_aura_crit_bonus"		"Критический урон :"
		"DOTA_Tooltip_ability_crit_aura_crit_chance"	"Шанс удара:"
		"DOTA_Tooltip_ability_crit_aura_radius"			"Радиус ауры:"
		"DOTA_Tooltip_modifier_coup_de_grace_passive"	"Critical Strike Aura"
		"DOTA_Tooltip_modifier_coup_de_grace_passive_Description"			"Шя бахнет !"

		"DOTA_Tooltip_ability_cleave"	"Lesser Cleave"
		"DOTA_Tooltip_ability_cleave_Description"	"Герой наносит удары невероятной силы, поражая всех врагов вокруг своей жертвы."
		"DOTA_Tooltip_ability_cleave_great_cleave_damage"	"%УРОН СОСЕДНИМ ЦЕЛЯМ:"

		"DOTA_Tooltip_ability_slardar_basher1"	"Lesser Bash"
		"DOTA_Tooltip_ability_slardar_basher1_Description"	"Атаки получают шанс нанести дополнительный урон и оглушить врага. При атаке крипов длительность оглушения удваивается."
		"DOTA_Tooltip_ability_slardar_basher1_chance"	"%ШАНС:"
		"DOTA_Tooltip_ability_slardar_basher1_bonus_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_slardar_basher1_duration"	"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_ability_slardar_basher2"	"Bash"
		"DOTA_Tooltip_ability_slardar_basher2_Description"	"Атаки получают шанс нанести дополнительный урон и оглушить врага. При атаке крипов длительность оглушения удваивается."
		"DOTA_Tooltip_ability_slardar_basher2_chance"	"%ШАНС:"
		"DOTA_Tooltip_ability_slardar_basher2_bonus_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_slardar_basher2_duration"	"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_ability_reflection"	"LOL , WHAT ?"
		"DOTA_Tooltip_ability_reflection_Description"	"PROBLEM ?!"
		"DOTA_Tooltip_ability_reflection_damage_reflection_pct"	"%ОТРАЖЕННЫЙ УРОН:"
		"DOTA_Tooltip_ability_reflectionmin_radius"		"МИН. РАДИУС:"
		"DOTA_Tooltip_ability_reflection_max_radius"	"МАКС. РАДИУС:"

		"DOTA_Tooltip_ability_tombstone_aura1"				"Lesser Tombstone aura"
		"DOTA_Tooltip_ability_tombstone_aura1_Description"	"При смерти живого сущеста появляется зомби ."
		"DOTA_Tooltip_ability_tombstone_aura1_Lore"	"Бегите глупцы ! Зомби идут !!!"
		"DOTA_Tooltip_tombstone_aura1_modifier"				"Lesser Tombstone aura"
		"DOTA_Tooltip_tombstone_aura1_modifier_Description"	"Убей меня Билли !"

		"DOTA_Tooltip_ability_tombstone_aura2"				"Tombstone aura"
		"DOTA_Tooltip_ability_tombstone_aura2_Description"	"При смерти живого сущеста появляется зомби ."
		"DOTA_Tooltip_ability_tombstone_aura2_Lore"			"Бегите глупцы ! Зомби идут !!!"
		"DOTA_Tooltip_tombstone_aura2_modifier"				"Tombstone aura"
		"DOTA_Tooltip_tombstone_aura2_modifier_Description"	"Убей меня Джонни !"

		"DOTA_Tooltip_ability_doom_aura"	"Doom aura"
		"DOTA_Tooltip_ability_doom_aura_Description"	"Проклинает все живое вокруг, в результате чего все получают периодический урон и теряют возможность использовать способности или предметы."
		"DOTA_Tooltip_ability_doom_aura_pct_dmg"	"УРОН ОТ МАКС ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_doom_aura_dmg"		"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_modifier_doom_datadriven"	"Doom aura"
		"DOTA_Tooltip_modifier_doom_datadriven_Description"	"Вы прокляты ! "

		"DOTA_Tooltip_ability_creature_sniper_headshot"	"Golden Bullet"
		"DOTA_Tooltip_ability_creature_sniper_headshot_description"	"Имеет шанс нанести чистый урон, а также оттолкнуть цель"
		"DOTA_Tooltip_ability_creature_sniper_headshot_proc_chance"	"%Шанс: "
		"DOTA_Tooltip_ability_creature_sniper_headshot_knockback_dist"	"Дистанция толчка: "
		"DOTA_Tooltip_ability_creature_sniper_headshot_knockback_duration"	"Длительность толчка: "

		"DOTA_Tooltip_ability_sniper_shotgun"	"Giant Bullet"
		"DOTA_Tooltip_ability_sniper_shotgun_description"	"Каждая атака отталкивает цель."
		"DOTA_Tooltip_ability_sniper_shotgun_knockback_dist"	"Дистанция толчка: "
		"DOTA_Tooltip_ability_sniper_shotgun_knockback_duration"	"Длительность толчка: "

		"DOTA_Tooltip_ability_true_strike_datadriven"	"Точный выстрел"
		"DOTA_Tooltip_ability_true_strike_datadriven_Description"	"Никогда не промахивается !"

		"DOTA_Tooltip_ability_perfect_defense"	"Perfect Defense"
		"DOTA_Tooltip_ability_perfect_defense_Description"	"Будучи атакованным, герой может незамедлительно ударить в ответ с бонусным вампиризмом."
